template_id,title_fr,title_ar,title_en,description_fr,description_ar,description_en,type,week_min,week_max,recommended_day,importance_level,country_scope,sources
c01,"Première consultation prénatale","الاستشارة الأولى قبل الولادة",,"Première rencontre avec le médecin ou la sage-femme pour confirmer la grossesse, établir le dossier médical et planifier le suivi.",,,"examen,bilan",6,10,5,3,global,"HAS, ACOG, NHS"
c02,"Échographie de datation","تصوير بالموجات فوق الصوتية لتحديد التاريخ",,"Échographie pour confirmer la viabilité de la grossesse, dater précisément le début et vérifier l'implantation.",,,"examen,echo",7,12,3,3,global,"HAS, ACOG, NHS"
c03,"Dépistage de la trisomie 21 (T21)","فحص متلازمة داون",,"Test combiné (échographie de la clarté nucale + prise de sang) pour évaluer le risque de T21.",,,"examen,depistage",11,13,4,2,global,"HAS, ACOG, NHS"
c04,"Échographie du premier trimestre (Morphologique)","تصوير بالموجات فوق الصوتية للثلث الأول",,"Échographie pour vérifier le développement des organes, la clarté nucale et le rythme cardiaque.",,,"examen,echo",11,14,2,3,global,"HAS, ACOG, NHS"
c05,"Consultation du 4ème mois","استشارة الشهر الرابع",,"Consultation de suivi mensuel. Vérification du poids, de la tension artérielle et de la hauteur utérine.",,,"examen,bilan",14,17,5,2,global,"HAS, ACOG, NHS"
c06,"Échographie du deuxième trimestre (Morphologique)","تصوير بالموجات فوق الصوتية للثلث الثاني",,"L'échographie la plus importante pour l'étude détaillée de la morphologie du fœtus et la détection d'éventuelles anomalies.",,,"examen,echo",20,22,3,3,global,"HAS, ACOG, NHS"
c07,"Test de dépistage du diabète gestationnel (HGPO)","اختبار سكري الحمل",,"Test de charge en glucose pour dépister le diabète gestationnel.",,,"examen,depistage",24,28,1,2,global,"HAS, ACOG, NHS"
c08,"Consultation du 7ème mois","استشارة الشهر السابع",,"Consultation de suivi. Début de la surveillance du col de l'utérus. Préparation à l'accouchement.",,,"examen,bilan",28,31,5,2,global,"HAS, ACOG, NHS"
c09,"Échographie du troisième trimestre (Croissance)","تصوير بالموجات فوق الصوتية للثلث الثالث",,"Échographie pour évaluer la croissance fœtale, la position du bébé et la quantité de liquide amniotique.",,,"examen,echo",32,34,2,3,global,"HAS, ACOG, NHS"
c10,"Cours de préparation à l'accouchement","دروس التحضير للولادة",,"Début des séances de préparation à l'accouchement (respiration, gestion de la douleur, péridurale, etc.)",,,"preparation",30,36,4,1,global,"HAS, NHS"
c11,"Bilan sanguin complet (Anémie, Sérologies)","تحليل دم شامل",,"Vérification de l'hémoglobine (anémie), des sérologies (toxoplasmose, rubéole, etc.) et du groupe sanguin",,,"examen,bilan",10,14,5,2,global,"HAS, ACOG, NHS"
c12,"Achat des premiers vêtements de bébé","شراء ملابس الطفل الأولى",,"Moment pour commencer les achats de la layette et des équipements de base",,,"self_care,achat",20,28,6,1,global,"none"
c13,"Installation de la chambre de bébé","تجهيز غرفة الطفل",,"Préparation de l'environnement de sommeil et de jeu du nouveau-né",,,"self_care,achat",30,36,6,1,global,"none"
c14,"Faire sa valise de maternité","تجهيز حقيبة الولادة",,"Préparation des affaires nécessaires pour la mère et le bébé à la maternité",,,"preparation",35,37,7,2,global,"none"
c15,"Repos et relaxation","الراحة والاسترخاء",,"Prendre du temps pour soi, méditer, ou faire une sieste. Essentiel pour le bien-être mental",,,"self_care,bien_etre",1,40,7,1,global,"none"
c16,"Rendez-vous avec l'anesthésiste","موعد مع طبيب التخدير",,"Consultation obligatoire en vue d'une éventuelle péridurale ou césarienne",,,"examen,preparation",34,36,5,2,global,"HAS, NHS"
c17,"Vaccination contre la grippe (si saison)","التطعيم ضد الأنفلونزا",,"Vaccination recommandée pendant la grossesse pour protéger la mère et le bébé",,,"prevention",1,40,5,1,global,"OMS, ACOG"
c18,"Vérification de l'apport en Vitamine D","فحص فيتامين د",,"Vérification de l'apport en Vitamine D et ajustement de la supplémentation si nécessaire",,,"examen,supplement",10,20,5,1,global,"HAS, NHS"
c19,"Bilan bucco-dentaire","فحص الأسنان",,"Consultation chez le dentiste, souvent recommandée et prise en charge pendant la grossesse",,,"examen,prevention",12,24,5,1,global,"HAS, NHS"
c20,"Début du congé maternité","بداية إجازة الأمومة",,"Date de début du congé maternité légal (variable selon les pays)",,,"administratif",34,36,1,2,global,"none"
c21,"Consultation post-natale","استشارة ما بعد الولادة",,"Consultation de suivi après l'accouchement pour vérifier la récupération de la mère",,,"examen,bilan",42,56,5,2,global,"HAS, NHS"
c22,"Rendez-vous chez le pédiatre (1er mois)","موعد مع طبيب الأطفال (الشهر الأول)",,"Première visite de routine chez le pédiatre pour le nouveau-né",,,"examen,bilan",42,56,5,2,global,"none"
c23,"Séance de rééducation périnéale","جلسات إعادة تأهيل قاع الحوض",,"Début des séances de rééducation du périnée après l'accouchement",,,"preparation",56,84,5,1,global,"HAS, NHS"
c24,"Achat du siège auto","شراء مقعد السيارة",,"Achat et installation du siège auto homologué pour le nouveau-né",,,"self_care,achat",30,36,6,1,global,"none"
c25,"Vérification des droits et aides","التحقق من الحقوق والمساعدات",,"Vérification des démarches administratives et des aides financières disponibles (selon le pays)",,,"administratif",1,12,5,1,global,"none"
